"CASE";"MA01_01";"MA02";"MA05_01";"MA05_02";"MA05_03";"MA05_04";"MA06_01";"MA06_02";"MA06_03";"MA07_01";"MA07_02";"MA07_03";"MA07_04";"MA07_05";"MA07_06";"MA08_01";"MA08_02";"MA08_03";"MA08_04";"MA08_05";"MA08_06";"RM01";"TS01_01";"TS03";"TS04";"TS18";"TS12_01";"TS13";"TS16"
"390";390;9;"Eher ungerecht";2;3;2;2;4;2;3;4;5;4;4;4;4;1;2;4;2;4;5;2;22;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Kein Einkommen";5;"Deutsch ist meine Muttersprache.";"5"
"394";394;9;"Ungerecht";1;1;1;1;4;2;4;4;3;2;2;2;4;3;2;2;3;1;2;4;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"4"
"396";396;7;"Weder noch";3;3;2;4;4;2;3;3;4;2;3;3;4;3;2;3;2;3;3;1;23;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";4;"Deutsch ist meine Muttersprache.";"7"
"399";399;5;"Eher ungerecht";6;3;5;3;5;2;3;3;4;3;1;5;3;5;5;3;2;2;3;2;18;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";2;"Deutsch ist meine Muttersprache.";"5"
"402";402;8;"Weder noch";2;3;3;3;3;2;3;4;4;4;4;4;4;2;2;2;3;4;2;3;26;"Weiblich";"Bachelor - Abschluss";"[NA] Keine Angabe gewünscht.";3;"Deutsch ist meine Muttersprache.";"7"
"403";403;8;"Weder noch";2;3;2;3;3;1;4;4;5;3;4;5;4;2;2;2;2;4;3;4;22;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";4;"Deutsch ist meine Muttersprache.";"8"
"404";404;7;"Ungerecht";3;3;3;2;4;4;3;3;4;3;3;3;3;1;4;1;4;3;3;2;24;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"6"
"406";406;7;"Eher ungerecht";3;3;3;2;4;3;3;4;5;3;4;4;4;2;3;3;2;2;3;1;18;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Kein Einkommen";4;"Deutsch ist meine Muttersprache.";"7"
"407";407;8;"Ungerecht";1;2;1;1;3;4;2;4;4;4;5;5;4;1;1;2;1;4;1;4;22;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";7;"Deutsch ist meine Muttersprache.";"8"
"409";409;7;"Eher gerecht";5;4;3;4;3;2;4;3;4;3;3;4;4;3;4;2;4;4;4;3;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";5;"Deutsch ist meine Muttersprache.";"7"
"412";412;10;"Sehr ungerecht";1;1;1;1;4;2;4;4;5;2;3;3;5;6;6;1;1;4;1;2;51;"Weiblich";"Master - Abschluss";"3000€ bis unter 4000€";3;"Deutsch ist meine Muttersprache.";"6"
"415";415;10;"Eher ungerecht";4;3;3;4;4;3;4;4;5;4;4;4;5;3;3;5;2;4;2;3;57;"Weiblich";"Bachelor - Abschluss";"3000€ bis unter 4000€";4;"Deutsch ist meine Muttersprache.";"7"
"416";416;9;"Eher ungerecht";4;3;3;3;4;2;2;3;4;3;3;4;4;2;2;3;2;3;2;1;59;"Männlich";"Master - Abschluss";"4000€ bis unter 5000€ (7)";7;"Deutsch ist meine Muttersprache.";"6"
"420";420;8;"Ungerecht";3;2;1;3;4;1;3;3;4;4;4;4;4;3;3;2;3;4;3;4;24;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"7"
"422";422;9;"Ungerecht";2;2;2;3;4;1;2;4;4;2;4;4;3;1;2;1;3;3;1;3;21;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"6"
"423";423;9;"Eher ungerecht";1;2;1;3;4;3;3;2;3;2;2;2;3;2;3;3;1;3;3;2;50;"Weiblich";"Realschulabschluss (Mittlere Reife)";"4000€ bis unter 5000€ (7)";6;"Deutsch ist meine Muttersprache.";"6"
"424";424;7;"Weder noch";4;4;3;3;3;3;4;3;4;3;3;3;4;3;3;4;2;4;4;4;68;"Männlich";"Master - Abschluss";"3000€ bis unter 4000€";6;"Deutsch ist meine Muttersprache.";"6"
"427";427;7;"Eher gerecht";4;4;3;4;3;4;2;3;4;2;3;3;4;2;2;2;2;3;3;1;56;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"3000€ bis unter 4000€";5;"Deutsch ist meine Muttersprache.";"6"
"431";431;10;"Ungerecht";1;1;1;1;4;3;3;2;4;2;3;3;5;1;1;1;2;1;1;1;38;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";1;"Deutsch ist meine Muttersprache.";"5"
"438";438;9;"Ungerecht";2;2;2;2;5;1;5;4;5;4;4;4;5;1;2;5;1;4;3;3;55;"Weiblich";"Bachelor - Abschluss";"3000€ bis unter 4000€";3;"Deutsch ist meine Muttersprache.";"7"
"439";439;7;"Eher ungerecht";2;2;2;2;4;2;4;3;4;2;4;4;3;2;2;2;2;2;2;2;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";7;"Deutsch ist meine Muttersprache.";"5"
"443";443;9;"Eher ungerecht";3;3;3;3;4;1;4;4;4;4;4;4;4;3;3;4;4;4;5;4;27;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"3"
"445";445;9;"Eher gerecht";4;4;4;4;4;1;3;2;4;2;3;3;4;1;1;1;1;2;1;1;27;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";7;"Deutsch ist meine Muttersprache.";"6"
"447";447;3;"Eher ungerecht";4;5;6;3;3;3;3;1;4;1;1;1;2;5;5;3;2;2;2;4;28;"Männlich";"Master - Abschluss";"3000€ bis unter 4000€";8;"Deutsch ist meine Muttersprache.";"6"
"453";453;8;"Eher ungerecht";3;2;2;2;3;3;4;2;4;3;3;3;4;2;4;2;3;5;4;3;38;"Männlich";"Master - Abschluss";"6000€ bis unter 7000€";5;"Deutsch ist meine Muttersprache.";"8"
"457";457;10;"Ungerecht";1;1;1;1;3;2;2;1;4;3;4;3;4;1;1;2;1;4;1;3;25;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";3;"Deutsch ist meine Muttersprache.";"8"
"459";459;8;"Eher gerecht";5;3;2;4;4;3;3;2;4;3;3;4;4;2;5;3;4;2;2;3;23;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";7;"Deutsch ist meine Muttersprache.";"8"
"463";463;8;"Eher ungerecht";4;5;2;5;4;1;5;3;3;3;4;3;3;4;4;2;4;5;4;2;26;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";4;"Deutsch ist meine Muttersprache.";"6"
"465";465;7;"Eher gerecht";2;5;5;5;4;2;2;4;5;2;4;4;4;5;5;2;1;2;2;4;28;"Männlich";"Master - Abschluss";"1000€ bis unter 2000€";6;"Deutsch ist meine Muttersprache.";"7"
"466";466;9;"Weder noch";4;4;2;4;4;2;4;3;4;3;3;3;4;1;1;2;1;1;1;1;57;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"2000€ bis unter 3000€";6;"Deutsch ist meine Muttersprache.";"6"
"475";475;7;"Eher gerecht";5;5;6;5;3;1;3;3;4;2;3;3;4;2;3;3;1;2;3;1;24;"Männlich";"Realschulabschluss (Mittlere Reife)";"1000€ bis unter 2000€";6;"Deutsch ist meine Muttersprache.";"5"
"483";483;10;"Sehr ungerecht";1;1;1;1;3;2;3;4;4;3;3;3;2;1;1;1;1;3;2;3;24;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";1;"Deutsch ist meine Muttersprache.";"6"
"484";484;7;"Eher ungerecht";1;3;2;4;4;1;4;3;4;3;4;4;4;3;2;2;3;4;4;4;58;"Weiblich";"Fachhochschulabschluss";"3000€ bis unter 4000€";4;"Deutsch ist meine Muttersprache.";"7"
"485";485;7;"Eher gerecht";5;5;3;6;4;2;4;4;4;3;3;3;3;3;4;3;2;4;4;2;22;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"1000€ bis unter 2000€";5;"Deutsch ist meine Muttersprache.";"10"
"488";488;8;"Eher ungerecht";3;2;2;2;3;3;3;2;3;1;1;1;3;3;3;2;4;3;3;4;28;"Weiblich";"Bachelor - Abschluss";"3000€ bis unter 4000€";6;"Deutsch ist meine Muttersprache.";"7"
"501";501;9;"Eher ungerecht";3;3;3;4;3;3;4;4;3;2;2;2;4;3;3;2;3;3;4;3;31;"Männlich";"Master - Abschluss";"3000€ bis unter 4000€";6;"Ich spreche sehr gut deutsch.";"4"
"503";503;7;"Gerecht";7;6;4;6;5;1;4;4;4;4;4;4;5;4;5;5;5;5;6;1;28;"Weiblich";"Master - Abschluss";"4000€ bis unter 5000€ (6)";4;"Deutsch ist meine Muttersprache.";"5"
"504";504;4;"Gerecht";6;6;5;7;4;2;4;3;5;4;4;4;5;4;6;3;4;6;6;1;36;"Männlich";"Doktor - Grad";"5000€ bis unter 6000€";5;"Deutsch ist meine Muttersprache.";"6"
"508";508;8;"Eher ungerecht";3;3;2;3;4;3;3;3;5;2;3;3;4;3;3;3;1;4;5;4;22;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"7"
"509";509;9;"Eher ungerecht";1;1;1;1;4;2;4;2;3;2;2;4;1;2;2;2;3;5;2;2;25;"Divers";"Bachelor - Abschluss";"[NA] Keine Angabe gewünscht.";3;"Deutsch ist meine Muttersprache.";"5"
"515";515;7;"Eher ungerecht";3;3;2;3;4;2;3;3;3;2;3;3;3;2;3;2;3;4;4;3;22;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";5;"Deutsch ist meine Muttersprache.";"4"
"518";518;7;"Eher ungerecht";4;4;5;5;3;2;4;2;4;2;3;3;4;3;4;2;4;4;3;3;24;"Weiblich";"Master - Abschluss";"1000€ bis unter 2000€";6;"Deutsch ist meine Muttersprache.";"6"
"529";529;10;"Sehr ungerecht";1;1;1;1;4;3;3;3;3;2;2;2;1;1;1;1;1;1;1;4;20;"Männlich";"Bachelor - Abschluss";"Unter 1000€";2;"Deutsch ist meine Muttersprache.";"7"
"530";530;8;"Eher ungerecht";5;2;4;4;5;2;4;4;5;3;4;3;3;2;4;2;1;3;2;1;24;"Weiblich";"Bachelor - Abschluss";"Kein Einkommen";3;"Deutsch ist meine Muttersprache.";"4"
"532";532;9;"Eher ungerecht";2;2;2;2;4;2;4;3;4;2;4;3;4;2;2;2;1;1;1;2;42;"Weiblich";"Fachhochschulabschluss";"3000€ bis unter 4000€";7;"Deutsch ist meine Muttersprache.";"6"
"536";536;9;"Ungerecht";1;1;1;1;3;3;3;3;4;2;3;2;4;2;2;2;1;5;3;4;50;"Männlich";"Doktor - Grad";"6000€ bis unter 7000€";5;"Deutsch ist meine Muttersprache.";"7"
"537";537;10;"Eher ungerecht";1;1;1;1;1;5;2;3;1;1;1;1;1;1;1;2;1;1;1;4;22;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";6;"Deutsch ist meine Muttersprache.";"5"
"542";542;7;"Eher ungerecht";2;3;2;3;4;3;4;4;2;3;3;3;4;1;3;2;2;3;4;2;25;"Weiblich";"Bachelor - Abschluss";"Kein Einkommen";-9;"Deutsch ist meine Muttersprache.";"7"
"543";543;9;"Eher ungerecht";5;2;1;3;2;3;2;3;4;2;2;2;4;2;3;2;1;2;1;1;32;"Weiblich";"Master - Abschluss";"2000€ bis unter 3000€";5;"Deutsch ist meine Muttersprache.";"7"
"544";544;8;"Ungerecht";2;2;3;2;2;3;2;2;4;1;2;2;3;1;2;2;3;3;3;3;24;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"6"
"545";545;6;"Gerecht";6;5;5;5;3;3;2;1;3;3;2;2;5;4;4;4;2;4;4;1;59;"Weiblich";"Realschulabschluss (Mittlere Reife)";"1000€ bis unter 2000€";7;"Deutsch ist meine Muttersprache.";"8"
"546";546;8;"Ungerecht";1;1;1;1;5;1;4;1;3;1;1;1;3;1;1;1;1;1;1;2;44;"Männlich";"Master - Abschluss";"4000€ bis unter 5000€ (6)";6;"Deutsch ist meine Muttersprache.";"8"
"547";547;8;"Weder noch";3;4;2;4;3;2;2;3;4;3;3;2;4;1;1;2;3;3;2;2;24;"Weiblich";"[NA] nicht beantwortet";"1000€ bis unter 2000€";6;"Deutsch ist meine Muttersprache.";"5"
"548";548;4;"Eher gerecht";5;5;5;5;3;4;2;1;3;1;2;2;3;4;4;4;3;4;4;4;59;"Männlich";"Realschulabschluss (Mittlere Reife)";"3000€ bis unter 4000€";7;"Ich spreche sehr gut deutsch.";"7"
"551";551;5;"Eher gerecht";5;5;5;5;3;4;3;1;2;1;2;3;3;4;4;4;4;5;4;1;59;"Männlich";"Realschulabschluss (Mittlere Reife)";"3000€ bis unter 4000€";7;"Ich spreche sehr gut deutsch.";"7"
"554";554;10;"[NA] Kann ich nicht sagen";4;3;2;3;4;5;3;4;2;1;3;3;3;2;2;2;3;5;4;3;25;"Weiblich";"Master - Abschluss";"1000€ bis unter 2000€";5;"Deutsch ist meine Muttersprache.";"6"
"561";561;10;"Ungerecht";2;3;4;4;4;3;3;3;5;3;3;3;4;2;3;2;3;4;2;3;29;"Weiblich";"Master - Abschluss";"3000€ bis unter 4000€";3;"Deutsch ist meine Muttersprache.";"8"
"563";563;7;"Eher ungerecht";3;3;1;2;3;3;2;1;3;1;1;1;4;1;3;3;1;3;3;4;35;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";6;"Ich spreche sehr gut deutsch.";"5"
"564";564;7;"Eher gerecht";5;5;5;5;4;1;4;3;4;4;4;3;4;4;4;4;3;4;4;4;47;"Männlich";"Master - Abschluss";"5000€ bis unter 6000€";7;"Ich spreche sehr gut deutsch.";"8"
"570";570;7;"Eher ungerecht";3;2;3;3;4;2;3;2;4;2;2;2;3;3;3;3;5;2;5;2;32;"Weiblich";"Master - Abschluss";"[NA] Keine Angabe gewünscht.";7;"Deutsch ist meine Muttersprache.";"6"
"571";571;8;"Ungerecht";1;2;2;2;3;2;3;4;2;3;3;3;2;2;2;2;2;3;3;3;24;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";2;"Deutsch ist meine Muttersprache.";"6"
"573";573;8;"Eher gerecht";5;5;3;4;4;3;1;4;4;2;2;2;4;2;3;3;3;4;2;1;23;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Kein Einkommen";5;"Deutsch ist meine Muttersprache.";"8"
"575";575;10;"Ungerecht";1;1;1;1;4;1;4;3;4;2;2;2;4;3;1;1;1;3;3;1;23;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"8"
"576";576;8;"Eher ungerecht";2;2;1;2;4;2;4;3;4;3;4;4;4;2;2;2;1;3;2;3;19;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"7"
"581";581;10;"Sehr ungerecht";1;2;2;2;4;2;4;4;5;3;4;4;3;1;1;2;4;3;3;4;21;"Männlich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";3;"Deutsch ist meine Muttersprache.";"7"
"583";583;9;"Ungerecht";4;4;4;5;3;3;4;3;4;3;3;4;3;3;4;3;4;5;4;2;25;"Weiblich";"Bachelor - Abschluss";"1000€ bis unter 2000€";4;"Deutsch ist meine Muttersprache.";"8"
"584";584;8;"Weder noch";3;4;3;4;3;3;2;4;4;3;3;3;3;1;1;3;1;5;2;2;20;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"4"
"588";588;8;"Eher ungerecht";3;3;2;4;4;2;4;3;4;2;4;3;3;3;2;2;4;2;3;4;23;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";6;"Deutsch ist meine Muttersprache.";"7"
"589";589;8;"Ungerecht";2;2;2;2;3;4;3;4;2;1;3;3;3;2;2;1;1;2;1;3;26;"Weiblich";"Bachelor - Abschluss";"2000€ bis unter 3000€";4;"Deutsch ist meine Muttersprache.";"7"
"596";596;10;"Ungerecht";2;2;2;3;4;2;4;3;5;2;3;3;5;1;2;1;2;4;1;1;22;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Kein Einkommen";7;"Deutsch ist meine Muttersprache.";"5"
"597";597;6;"Eher gerecht";3;4;3;5;4;3;3;3;4;3;4;4;4;3;4;3;2;4;2;1;25;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";7;"Deutsch ist meine Muttersprache.";"3"
"598";598;8;"Eher ungerecht";2;3;2;2;4;1;3;4;4;2;3;4;4;3;4;3;4;5;4;3;23;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";4;"Deutsch ist meine Muttersprache.";"7"
"602";602;5;"Eher gerecht";5;5;5;5;4;2;4;2;5;3;4;4;4;3;4;4;3;3;4;4;23;"Männlich";"Bachelor - Abschluss";"Kein Einkommen";5;"Ich spreche gut deutsch.";"6"
"603";603;9;"Eher ungerecht";4;3;2;3;4;3;3;4;4;3;3;3;4;3;3;3;4;2;2;2;22;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";5;"Deutsch ist meine Muttersprache.";"5"
"604";604;6;"Eher ungerecht";5;3;5;3;2;3;4;3;3;4;2;4;2;3;4;4;3;5;4;1;23;"Weiblich";"Bachelor - Abschluss";"2000€ bis unter 3000€";5;"Deutsch ist meine Muttersprache.";"7"
"607";607;10;"Ungerecht";3;3;2;3;4;2;4;4;4;4;4;5;4;2;2;3;2;3;2;3;63;"Männlich";"Fachhochschulabschluss";"2000€ bis unter 3000€";5;"Deutsch ist meine Muttersprache.";"7"
"610";610;10;"Ungerecht";1;1;1;1;3;1;3;2;3;3;3;3;1;1;1;1;1;1;1;3;28;"Weiblich";"Bachelor - Abschluss";"Unter 1000€";2;"Ich spreche sehr gut deutsch.";"3"
"613";613;6;"Eher ungerecht";4;3;3;3;3;3;3;3;4;3;3;3;4;2;1;1;1;2;1;4;20;"Weiblich";"Allgemeine oder fachgebundene Hochschulreife / Abitur";"Unter 1000€";5;"Deutsch ist meine Muttersprache.";"8"
"616";616;8;"Eher ungerecht";3;3;3;4;2;3;2;1;3;1;1;1;1;1;3;1;1;2;3;2;28;"Männlich";"Master - Abschluss";"2000€ bis unter 3000€";3;"Deutsch ist meine Muttersprache.";"7"
